MRP Entry,MRP-Eintrag
BOM Level,Stücklistenebene
Target Date,Zieldatum
Reorder Quantity (MOQ),Nachbestellmenge (MOQ)
Urgent,Dringend
On Hand Inventory,Vorhandener Bestand
Stock on Hand (Begin of period),Lagerbestand (Beginn der Periode)
Open Orders,Offene Bestellungen
Upstream Sales Order Demand,Upstream-Kundenauftragsbedarf
Total Forecast Demand,Gesamtprognosebedarf
Forecast Demand,Prognose der Nachfrage
Upstream Forecast Demand,Upstream-Prognosebedarf
Scheduled Receipts,Geplante Quittungen
Suggested Receipts,Vorgeschlagene Quittungen
Suggested Orders,Bestellvorschläge
Projected Stock on Hand,Prognostizierter Lagerbestand
Periods Type,Periodentyp
Look Ahead,Blick nach vorn
Total Requirement based on,Gesamtbedarf basierend auf
Forecast Date,Prognosedatum
Forecast Quantity,Prognosemenge
Is Manufactured,Wird hergestellt
If this item has an Active BOM it's considered as a Manufactured Item,Wenn dieser Artikel eine aktive Stückliste besitzt gilt er als gefertigter Artikel.
Item Lead Time Field,Feld für die Artikel-Lieferzeit
Item Additional Lead Time Field,Feld für zusätzliche Lieferzeit
The Item field to use as "Lead Time",Das Feld „Artikel“ soll als „Lieferzeit“ verwendet werden.
An Item field to include in the Lead Time calculation,Ein Artikelfeld, das in die Lieferzeitberechnung einbezogen werden soll
Purchase Order Item Delivery Date Field,Feld für Lieferdatum der Bestellposition
A field on 'Purchase Order Item' to use as Delivery Date in Ordered Quantity calculation. Must be a Mandatory field.,Ein Feld im Feld „Bestellposition“ das als Lieferdatum bei der Berechnung der Bestellmenge verwendet werden soll. Muss ein Pflichtfeld sein.
